,DAY-MONTH,HIGH/LOW,PRECIP,WIND(dir/speed),HUMIDITY
1,29-AUG ,--26°C/°C,40%  ,NNE 2 km/h   ,91%   
2,30-AUG ,31°C/26°C,80%  ,WSW 4 km/h   ,83%   
3,31-AUG ,31°C/26°C,80%  ,WSW 4 km/h   ,85%   
4,1-SEP ,31°C/26°C,80%  ,SSE 5 km/h   ,86%   
5,2-SEP ,32°C/26°C,50%  ,WSW 6 km/h   ,81%   
6,3-SEP ,32°C/26°C,50%  ,ESE 7 km/h   ,81%   
7,4-SEP ,31°C/26°C,50%  ,ESE 7 km/h   ,82%   
8,5-SEP ,31°C/26°C,60%  ,ESE 7 km/h   ,82%   
9,6-SEP ,31°C/26°C,50%  ,ESE 8 km/h   ,83%   
10,7-SEP ,31°C/25°C,50%  ,ESE 8 km/h   ,84%   
11,8-SEP ,32°C/25°C,40%  ,ESE 7 km/h   ,83%   
12,9-SEP ,30°C/25°C,80%  ,ESE 8 km/h   ,86%   
13,10-SEP ,31°C/25°C,80%  ,ESE 7 km/h   ,87%   
14,11-SEP ,30°C/25°C,80%  ,ESE 8 km/h   ,87%   
15,12-SEP ,29°C/25°C,80%  ,ESE 8 km/h   ,89%   
